year cost
     1990.00   8289329.27
     1990.00  30433124.36
     1990.00   5915389.90
     1990.00  13076125.04
     1990.00   4475459.46
     1990.00   7880700.36
     1990.00   6771564.75
     1990.00   2393397.89
     1990.00  40843432.24
     1990.00  22669175.11
     1990.00  10361661.59
     1990.00   7567418.20
     1990.00    466031.54
     1990.00   3716577.21
     1990.00   9048211.53
     1990.00  16111654.07
     1990.00   1653974.15
     1990.00  29790993.22
     1990.00    505921.50
     1990.00   1790183.79
     1990.00   7063442.55
     1990.00   1439930.44
     1990.00  30725002.15
     1990.00   9752609.93
     1990.00   8853626.33
     1990.00  21512171.55
     1990.00   6343477.33
     1990.00  18096423.05
     1990.00  19088807.54
     1990.00  44618385.01
     1990.00   2743651.24
     1990.00   5818097.30
     1990.00   5448385.43
     1990.00   5448385.43
     1990.00  18135340.09
     1990.00  18621803.08
     1990.00   6324018.81
     1990.00   8406080.39
     1990.00    650498.30
     1990.00   6401852.89
     1990.00  11908613.88
     1990.00  13873924.34
     1990.00  24576110.02
     1990.00   3405240.90
     1990.00   3405240.90
     1990.00  12963265.63
     1990.00   2977153.47
     1990.00  17181872.64
     1990.00  10507600.48
     1990.00  19049890.50
     1990.00  12647064.69
     1990.00  16461907.42
     1990.00   3638743.13
     1990.00   4358708.35
     1990.00   7744490.73
     1990.00   5565136.55
     1990.00  22770359.41
     1990.00   5138994.98
     1990.00  11461067.93
     1990.00  17246085.75
     1990.00  62724537.32
     1990.00   3397652.07
     1990.00  14214448.43
     1990.00   7783407.76
     1990.00    116751.12
     1990.00   3658201.65
     1990.00  11461067.93
     1990.00   8912001.89
     1990.00    875633.37
     1990.00    875633.37
     1990.00    875633.37
     1990.00  11324858.30
     1990.00  21036605.33
     1990.00   9515215.99
     1990.00    900929.45
     1990.00   4582481.32
     1990.00   4203040.19
     1990.00   9052103.23
     1990.00  21326537.27
     1990.00  24615027.05
     1990.00  24615027.05
     1990.00   5000839.49
     1990.00   5740263.23
     1990.00   7911833.99
     1990.00  10799478.27
     1990.00  10799478.27
     1990.00   2558795.30
     1990.00  15761400.72
     1990.00  17561313.77
     1990.00  25490660.43
     1990.00  15216562.18
     1990.00  14379845.84
     1990.00   2821485.31
     1990.00   9476298.95
     1990.00   8814709.29
     1990.00  10974604.95
     1990.00    630456.03
     1990.00   9928709.53
     1990.00    505921.50
     1990.00    505921.50
     1990.00    505921.50
     1990.00    505921.50
     1990.00   8931460.41
     1990.00   7647198.13
     1990.00    875633.37
     1990.00    875633.37
     1990.00   3405240.90
     1990.00   4428759.02
     1990.00   8814709.29
     1990.00   7331970.11
     1990.00  17415374.87
     1990.00  18436947.14
     1990.00    972925.97
     1990.00  10449224.92
     1990.00  16656492.62
     1990.00  83252302.37
     1990.00  10530950.70
     1990.00   1969202.16
     1990.00  23447515.89
     1990.00  10546517.52
     1990.00   6032141.02
     1990.00   9928709.53
     1990.00  15907339.62
     1990.00   2549066.04
     1990.00   9598887.63
     1990.00   4961922.45
     1990.00    972925.97
     1990.00  28409438.34
     1990.00   5448385.43
     1990.00   1862180.31
     1990.00   3054987.55
     1990.00   5895931.38
     1990.00   2840943.83
     1990.00   4961922.45
